区分,項目,摘要,金額,支払方法,状態,画像出典,備考
収入,参加費,2000円×17名,34000,現金,済,,全員徴収済
収入,補助金,近畿北陸支部,12000,現金,済,,
支出,出金,元手引出,95000,現金,済,,
支出,お土産代,印刷レシート,3240,現金,済,IMG_8357,要確認
支出,交通費,手書き領収書①,1000,現金,済,IMG_8357,要確認
支出,交通費,手書き領収書②,5000,現金,済,IMG_8357,要確認
支出,交通費,手書き領収書③,3000,現金,済,IMG_8357,要確認
支出,交通費,手書き領収書④,5000,現金,済,IMG_8357,要確認
支出,交通費,手書き領収書⑤,5000,現金,済,IMG_8357,要確認
支出,交通費,領収書 加藤智康宛,2000,現金,済,IMG_8358,要確認
支出,交通費,領収書 浅野卓宛,5000,現金,済,IMG_8358,要確認
支出,交通費,領収書 森勝亨宛,2000,現金,済,IMG_8358,要確認
支出,備品,Seriaレシート,1433,現金,済,IMG_8356,金額読取不可
支出,飲食,ボンとらやレシート,4545,現金,済,IMG_8356,金額読取不可
支出,飲食,Waltz/Just Coffeeレシート,2400,現金,済,IMG_8356,金額読取不可
支出,飲食,APITAレシート,2890,現金,済,IMG_8356,金額読取不可
支出,お土産代,領収書,1296,現金,済,IMG_8356,金額要確認
支出,会議室,蒲郡商工会議所請求書,5690,請求書,精算済,IMG_8356,初日会議室
支出,交通費,田中さん交通費,1000,現金,未精算,,金額未定
